orderid,timestamp,productid,productname,category,quantity,grossvalue,discountvalue,costofgoodssold,customerid,city,locationid,channel,orderstatus,cart_abandoned,total_price
ORD000021,2025-07-13 10:59:04,P0269,Aspirin 100mg Bottle - Store Brand - Store Brand - Store Brand,Pain Relief,2,5.88,0.0,1.76,C00988,Riyadh,E012,Web,Completed,0,5.88
ORD000022,2025-09-01 00:30:40,P0339,Imodium 2mg Box - Store Brand - Store Brand,Gastrointestinal,2,37.22,5.58,12.72,C00903,Medina,E048,Retail,Completed,1,31.64
ORD000023,2024-09-17 05:10:54,P0370,Johnson's Baby Oil 200ml Pack - Store Brand,Baby Care,5,154.1,23.12,62.35,C00681,Medina,E102,Mobile,Completed,0,130.98
ORD000024,2025-02-16 10:56:43,P0215,Panadol Advance Box - Store Brand,Pain Relief,1,12.25,1.84,4.88,C00321,Mecca,E099,Web,Completed,0,10.41
ORD000025,2025-06-30 16:13:32,P0196,Brufen 400mg Box - Store Brand,Pain Relief,4,51.16,7.67,22.36,C00264,Jeddah,E033,Web,Completed,0,43.49
ORD000026,2025-06-14 21:42:33,P0114,Otrivin Nasal Spray Box - Store Brand - Store Brand,Cold & Flu,2,25.9,0.0,12.88,C00814,Khobar,E049,Mobile,Completed,0,25.9
ORD000027,2025-02-03 12:40:21,P0398,Johnson's Baby Oil 200ml Box - Store Brand,Baby Care,1,30.69,1.53,9.35,C01102,Khobar,E055,Mobile,Completed,1,29.16
ORD000028,2025-06-04 13:27:51,P0104,Refresh Tears Eye Drops Box - Store Brand,Eye Care,1,30.32,3.03,14.44,C00147,Mecca,E088,Web,Completed,1,27.29
ORD000029,2024-08-08 18:49:22,P0395,Omega-3 Fish Oil Pack - Store Brand - Store Brand - Store Brand - Store Brand,Vitamins,1,24.24,3.64,10.94,C00708,Medina,E033,Retail,Completed,1,20.6
ORD000030,2024-07-08 05:01:54,P0004,Panadol Advance Pack,Pain Relief,4,69.44,0.0,26.76,C00581,Dammam,E096,Web,Completed,0,69.44
ORD000031,2024-06-08 20:34:37,P0013,Brufen 400mg Pack,Pain Relief,1,22.77,3.42,9.57,C00540,Dammam,E101,Web,Completed,0,19.35
ORD000032,2024-07-25 19:37:18,P0227,Panadol Extra Box - Store Brand - Store Brand,Pain Relief,1,6.0,0.0,1.7,C00605,Khobar,E103,Web,Completed,1,6.0
ORD000033,2024-05-30 10:18:34,P0128,Centrum Multivitamins Bottle - Store Brand - Store Brand,Vitamins,1,60.6,3.03,23.24,C00065,Mecca,E048,Web,Completed,1,57.57
ORD000034,2025-01-28 03:48:34,P0278,Pampers Baby Dry Pack - Store Brand - Store Brand - Store Brand,Baby Care,2,82.12,8.21,32.44,C01102,Khobar,E092,Retail,Completed,0,73.91
ORD000035,2025-08-02 07:08:35,P0200,Imodium 2mg Box - Store Brand - Store Brand,Gastrointestinal,2,34.06,0.0,15.68,C00567,Mecca,E026,Retail,Returned,0,34.06
ORD000036,2024-08-21 05:35:09,P0157,Mometasone Furoate 0.1% 15g Box - Store Brand,Dermatology,1,92.73,4.64,31.76,C00240,Riyadh,E079,Web,Completed,0,88.09
ORD000037,2025-08-13 17:41:22,P0095,Earol Ear Drops Box - Store Brand,Ear Care,1,13.57,0.68,6.49,C00717,Medina,E012,Retail,Completed,0,12.89
ORD000038,2025-08-25 02:39:12,P0015,Brufen 400mg Box,Pain Relief,1,21.27,1.06,8.36,C00575,Mecca,E067,Web,Completed,0,20.21
ORD000039,2025-05-23 20:23:51,P0322,Pampers Baby Dry Bottle - Store Brand - Store Brand,Baby Care,1,75.96,7.6,37.49,C00548,Khobar,E045,Retail,Completed,0,68.36
ORD000040,2025-03-11 04:34:13,P0099,Voltaren Emulgel 50g Bottle - Store Brand,Pain Relief,5,188.35,0.0,59.85,C00571,Medina,E034,Web,Completed,0,188.35
ORD000041,2025-04-17 19:00:04,P0220,Panadol Advance Box - Store Brand,Pain Relief,1,10.03,0.0,4.78,C00304,Dammam,E103,Mobile,Completed,0,10.03
ORD000042,2025-09-13 03:55:20,P0232,Clobetasol Cream 0.05% 30g Box - Store Brand,Dermatology,2,172.9,25.94,65.44,C00540,Dammam,E073,Web,Completed,0,146.96
ORD000043,2025-03-14 08:48:09,P0206,Femibion Prenatal Bottle - Store Brand,Vitamins,3,350.13,0.0,132.06,C00727,Medina,E062,Web,Completed,0,350.13
ORD000044,2025-08-30 17:49:13,P0154,Imodium 2mg Pack - Store Brand,Gastrointestinal,3,74.31,7.43,23.19,C00736,Khobar,E053,Retail,Completed,0,66.88
ORD000045,2024-10-13 12:26:31,P0066,Gaviscon 200ml Box,Gastrointestinal,1,53.76,0.0,17.11,C00684,Khobar,E052,Mobile,Completed,0,53.76
ORD000046,2025-05-27 16:50:14,P0281,Otrivin Nasal Spray Box - Store Brand - Store Brand - Store Brand,Cold & Flu,5,38.9,5.84,22.2,C00911,Riyadh,E041,Web,Completed,0,33.06
ORD000047,2024-08-11 22:35:49,P0064,Gaviscon 200ml Pack,Gastrointestinal,5,265.75,13.29,84.8,C00616,Khobar,E064,Mobile,Completed,0,252.46
ORD000048,2024-10-15 02:45:46,P0303,Band-Aid Assorted Box - Store Brand - Store Brand,First Aid,1,7.04,0.35,3.81,C00945,Jeddah,E107,Web,Completed,0,6.69
ORD000049,2024-06-13 20:04:50,P0030,Redoxon Vitamin C 1000mg Box,Vitamins,1,32.33,0.0,13.7,C00114,Jeddah,E087,Retail,Completed,0,32.33
ORD000050,2025-05-17 13:03:14,P0381,Multivitamin Gummies Kids Box - Store Brand,Vitamins,5,207.85,31.18,79.25,C00128,Riyadh,E048,Mobile,Completed,0,176.67
ORD000051,2025-04-08 04:31:22,P0358,Pampers Baby Dry Pack - Store Brand - Store Brand - Store Brand,Baby Care,1,33.81,3.38,13.28,C00065,Mecca,E051,Web,Completed,0,30.43
ORD000052,2025-05-05 07:40:01,P0055,Mometasone Furoate 0.1% 15g Pack,Dermatology,3,319.11,47.87,142.11,C00140,Mecca,E070,Web,Completed,0,271.24
ORD000053,2025-03-13 01:59:59,P0274,Panadol Extra Pack - Store Brand,Pain Relief,5,51.9,7.78,20.6,C00622,Riyadh,E041,Mobile,Completed,0,44.12
ORD000054,2025-01-11 16:17:55,P0009,Aspirin 100mg Box,Pain Relief,2,14.7,1.47,5.9,C00743,Jeddah,E047,Mobile,Completed,0,13.23
ORD000055,2024-09-23 03:50:32,P0353,Duphaston 10mg Pack - Store Brand - Store Brand,Women's Health,1,40.23,4.02,13.62,C00606,Mecca,E047,Web,Completed,1,36.21
ORD000056,2025-01-06 03:36:09,P0252,Earol Ear Drops Pack - Store Brand - Store Brand - Store Brand,Ear Care,1,5.64,0.85,4.35,C00363,Dammam,E036,Web,Completed,0,4.79
ORD000057,2024-06-08 12:57:17,P0383,Symbicort Inhaler Bottle - Store Brand - Store Brand - Store Brand - Store Brand - Store Brand,Respiratory,3,209.31,10.47,131.04,C00874,Dammam,E072,Web,Completed,0,198.84
ORD000058,2024-07-17 03:01:33,P0235,Pampers Baby Dry Box - Store Brand - Store Brand,Baby Care,2,126.56,0.0,50.58,C00185,Mecca,E023,Web,Completed,0,126.56
ORD000059,2025-04-04 22:30:21,P0181,Centrum Multivitamins Pack - Store Brand,Vitamins,1,80.12,0.0,28.79,C00143,Dammam,E051,Web,Completed,0,80.12
ORD000060,2024-10-06 11:33:04,P0340,Aspirin 100mg Bottle - Store Brand - Store Brand,Pain Relief,2,7.08,0.0,3.64,C00926,Dammam,E058,Mobile,Completed,0,7.08
ORD000061,2025-06-01 04:55:47,P0144,Nivea Body Lotion 400ml Bottle - Store Brand,Personal Care,2,40.52,4.05,24.28,C00977,Medina,E045,Web,Completed,0,36.47
ORD000062,2025-06-14 00:34:53,P0358,Pampers Baby Dry Pack - Store Brand - Store Brand - Store Brand,Baby Care,2,67.62,3.38,26.56,C00782,Dammam,E100,Web,Completed,1,64.24
ORD000063,2025-03-05 02:37:45,P0161,Gaviscon 200ml Bottle - Store Brand,Gastrointestinal,4,152.12,22.82,58.48,C00037,Dammam,E079,Web,Completed,0,129.3
ORD000064,2024-07-31 03:04:56,P0140,Ventolin Inhaler Bottle - Store Brand,Respiratory,2,297.34,29.73,138.76,C00023,Jeddah,E054,Mobile,Completed,0,267.61
ORD000065,2024-05-23 10:00:04,P0125,Duphaston 10mg Pack - Store Brand,Women's Health,1,58.3,2.92,19.67,C00388,Riyadh,E041,Web,Completed,0,55.38
ORD000066,2025-07-06 04:26:30,P0221,Otrivin Nasal Spray Box - Store Brand - Store Brand - Store Brand,Cold & Flu,2,18.0,1.8,9.5,C00364,Jeddah,E114,Web,Completed,0,16.2
ORD000067,2025-06-21 20:13:32,P0269,Aspirin 100mg Bottle - Store Brand - Store Brand - Store Brand,Pain Relief,2,5.88,0.88,1.76,C00925,Riyadh,E053,Web,Completed,0,5.0
ORD000068,2024-09-21 05:00:57,P0125,Duphaston 10mg Pack - Store Brand,Women's Health,3,174.9,0.0,59.01,C00262,Medina,E027,Web,Completed,0,174.9
ORD000069,2025-03-25 12:04:14,P0312,Femibion Prenatal Bottle - Store Brand - Store Brand,Vitamins,2,194.84,0.0,58.56,C00405,Khobar,E099,Web,Completed,0,194.84
ORD000070,2024-06-11 16:36:50,P0382,Redoxon Vitamin C 1000mg Pack - Store Brand,Vitamins,1,24.54,1.23,11.51,C00240,Riyadh,E011,Mobile,Completed,0,23.31
ORD000071,2024-09-17 02:45:10,P0121,Aspirin 100mg Pack - Store Brand - Store Brand,Pain Relief,1,4.51,0.45,1.35,C00442,Mecca,E057,Mobile,Completed,0,4.06
ORD000072,2024-04-14 03:51:20,P0321,Gaviscon 200ml Bottle - Store Brand - Store Brand,Gastrointestinal,1,32.0,3.2,8.97,C01081,Riyadh,E111,Retail,Completed,1,28.8
ORD000073,2025-05-16 20:28:01,P0127,Pampers Baby Dry Box - Store Brand,Baby Care,5,496.45,74.47,203.1,C00293,Khobar,E018,Retail,Completed,0,421.98
ORD000074,2025-06-24 21:08:05,P0320,Brufen 400mg Box - Store Brand - Store Brand,Pain Relief,2,17.82,2.67,9.38,C00769,Riyadh,E068,Mobile,Completed,0,15.15
ORD000075,2025-04-01 01:53:10,P0170,Pampers Baby Dry Pack - Store Brand - Store Brand,Baby Care,2,110.96,0.0,42.96,C00361,Dammam,E057,Web,Completed,0,110.96
ORD000076,2024-11-13 18:15:26,P0226,Voltaren Emulgel 50g Box - Store Brand - Store Brand - Store Brand,Pain Relief,1,19.12,0.96,6.6,C00767,Medina,E045,Web,Completed,1,18.16
ORD000077,2025-03-28 12:25:22,P0143,Mometasone Furoate 0.1% 15g Pack - Store Brand - Store Brand,Dermatology,1,53.27,7.99,27.83,C00591,Medina,E103,Web,Completed,0,45.28
ORD000078,2025-05-22 18:39:50,P0333,Gaviscon 200ml Bottle - Store Brand - Store Brand - Store Brand,Gastrointestinal,1,24.12,3.62,6.87,C00161,Medina,E113,Mobile,Completed,0,20.5
ORD000079,2025-08-06 17:23:21,P0288,Duphaston 10mg Pack - Store Brand - Store Brand,Women's Health,1,33.26,4.99,13.84,C01147,Dammam,E029,Web,Completed,0,28.27
ORD000080,2025-04-28 05:33:27,P0313,Clobetasol Cream 0.05% 30g Pack - Store Brand - Store Brand,Dermatology,3,194.61,19.46,48.18,C00170,Jeddah,E037,Mobile,Completed,0,175.15
ORD000081,2025-02-06 16:20:03,P0336,Panadol Advance Bottle - Store Brand - Store Brand,Pain Relief,1,10.78,0.0,4.91,C00706,Medina,E024,Web,Completed,1,10.78
ORD000082,2025-07-15 18:33:32,P0072,Johnson's Baby Oil 200ml Box,Baby Care,2,74.6,11.19,28.82,C00168,Riyadh,E025,Web,Completed,0,63.41
ORD000083,2024-08-14 09:22:33,P0097,Femibion Prenatal Box - Store Brand,Vitamins,5,597.4,59.74,246.55,C00106,Riyadh,E035,Web,Completed,0,537.66
ORD000084,2024-09-19 19:09:01,P0123,Imodium 2mg Box - Store Brand - Store Brand,Gastrointestinal,1,16.26,0.0,6.66,C01130,Jeddah,E064,Web,Completed,1,16.26
ORD000085,2025-01-05 10:35:29,P0231,Nivea Body Lotion 400ml Box - Store Brand,Personal Care,2,50.2,0.0,23.38,C00468,Medina,E043,Web,Completed,0,50.2
ORD000086,2024-05-05 11:52:42,P0342,Gaviscon 200ml Bottle - Store Brand - Store Brand - Store Brand - Store Brand,Gastrointestinal,1,14.53,2.18,5.27,C00153,Khobar,E010,Mobile,Completed,0,12.35
ORD000087,2025-01-13 08:21:59,P0390,Femibion Prenatal Pack - Store Brand,Vitamins,4,450.2,0.0,163.16,C00964,Jeddah,E099,Mobile,Completed,1,450.2
ORD000088,2024-09-30 22:41:06,P0003,Panadol Extra Box,Pain Relief,3,39.78,0.0,12.84,C00470,Medina,E026,Web,Completed,0,39.78
ORD000089,2025-03-25 05:21:18,P0028,Redoxon Vitamin C 1000mg Pack,Vitamins,1,30.19,3.02,13.82,C00753,Khobar,E120,Web,Completed,0,27.17
ORD000090,2025-05-23 20:09:38,P0324,Aspirin 100mg Pack - Store Brand - Store Brand - Store Brand - Store Brand,Pain Relief,2,5.86,0.59,1.44,C01015,Dammam,E062,Mobile,Completed,0,5.27
ORD000091,2025-08-22 19:20:22,P0033,Omega-3 Fish Oil Box,Vitamins,1,100.66,0.0,38.49,C00015,Medina,E031,Mobile,Completed,0,100.66
ORD000092,2024-10-23 10:07:33,P0220,Panadol Advance Box - Store Brand,Pain Relief,2,20.06,3.01,9.56,C01089,Jeddah,E102,Web,Returned,1,17.05
ORD000093,2025-09-08 16:04:33,P0289,Gaviscon 200ml Pack - Store Brand,Gastrointestinal,2,84.3,8.43,24.18,C00371,Dammam,E099,Web,Completed,0,75.87
ORD000094,2025-09-06 18:10:58,P0073,Pampers Baby Dry Pack,Baby Care,2,243.78,0.0,107.5,C00526,Mecca,E008,Web,Completed,0,243.78
ORD000095,2024-06-28 16:50:30,P0299,Mometasone Furoate 0.1% 15g Pack - Store Brand - Store Brand - Store Brand - Store Brand,Dermatology,2,40.72,4.07,40.96,C01037,Dammam,E072,Mobile,Completed,1,36.65
ORD000096,2024-08-19 20:22:55,P0198,Nivea Body Lotion 400ml Bottle - Store Brand,Personal Care,1,23.75,3.56,12.35,C00627,Khobar,E046,Mobile,Completed,0,20.19
ORD000097,2025-04-03 21:56:07,P0082,Ventolin Inhaler Pack,Respiratory,3,608.7,60.87,251.07,C00397,Khobar,E070,Mobile,Completed,0,547.83
ORD000098,2025-05-19 05:04:10,P0005,Panadol Advance Bottle,Pain Relief,1,17.71,2.66,8.16,C00052,Medina,E036,Retail,Completed,0,15.05
ORD000099,2024-05-15 11:12:02,P0327,Neutrogena Hydro Boost Box - Store Brand,Skincare,2,164.2,24.63,55.6,C01026,Riyadh,E038,Mobile,Completed,1,139.57
ORD000100,2024-03-23 12:39:59,P0265,NeoCitran Hot Drink Pack - Store Brand - Store Brand - Store Brand,Cold & Flu,3,33.33,5.0,15.06,C00726,Dammam,E094,Web,Completed,0,28.33
ORD000101,2025-07-17 16:33:50,P0120,Refresh Tears Eye Drops Box - Store Brand - Store Brand - Store Brand,Eye Care,1,16.7,0.0,8.27,C00904,Jeddah,E085,Retail,Completed,0,16.7
ORD000102,2025-05-04 00:36:59,P0288,Duphaston 10mg Pack - Store Brand - Store Brand,Women's Health,3,99.78,4.99,41.52,C00150,Mecca,E079,Web,Completed,0,94.79
ORD000103,2024-06-16 18:26:55,P0253,Duphaston 10mg Pack - Store Brand - Store Brand,Women's Health,1,37.64,0.0,14.81,C00466,Riyadh,E006,Mobile,Completed,0,37.64
ORD000104,2024-08-26 22:16:27,P0021,NeoCitran Hot Drink Box,Cold & Flu,1,23.29,1.16,10.17,C00254,Medina,E013,Web,Completed,1,22.13
ORD000105,2025-08-15 23:47:21,P0109,Band-Aid Assorted Bottle - Store Brand,First Aid,2,18.3,1.83,8.02,C01153,Dammam,E007,Web,Completed,0,16.47
ORD000106,2024-04-02 03:11:26,P0119,Centrum Multivitamins Bottle - Store Brand,Vitamins,5,483.7,24.18,146.2,C00726,Dammam,E084,Web,Completed,0,459.52
ORD000107,2025-03-21 12:30:10,P0038,Neutrogena Hydro Boost Bottle,Skincare,4,465.48,0.0,185.4,C00515,Mecca,E047,Mobile,Returned,1,465.48
ORD000108,2025-01-03 15:11:10,P0090,Colgate Total Box,Oral Care,3,57.69,0.0,22.98,C00590,Mecca,E106,Mobile,Completed,0,57.69
ORD000109,2024-11-14 00:26:22,P0236,Band-Aid Assorted Bottle - Store Brand - Store Brand - Store Brand,First Aid,1,3.17,0.16,2.19,C00556,Riyadh,E067,Web,Completed,1,3.01
ORD000110,2024-08-17 03:02:46,P0282,Symbicort Inhaler Bottle - Store Brand - Store Brand - Store Brand - Store Brand,Respiratory,1,97.54,4.88,59.24,C00896,Medina,E073,Mobile,Completed,1,92.66
ORD000111,2024-06-12 22:10:29,P0165,Otrivin Nasal Spray Box - Store Brand - Store Brand,Cold & Flu,3,37.98,3.8,14.37,C00747,Dammam,E087,Web,Completed,0,34.18
ORD000112,2024-07-30 12:47:56,P0062,Earol Ear Drops Bottle,Ear Care,3,77.64,11.65,31.41,C00157,Mecca,E065,Web,Completed,1,65.99
ORD000113,2024-12-21 15:02:41,P0218,Femibion Prenatal Bottle - Store Brand - Store Brand,Vitamins,4,373.96,37.4,136.92,C00408,Dammam,E109,Web,Completed,1,336.56
ORD000114,2024-11-29 04:48:36,P0148,Redoxon Vitamin C 1000mg Pack - Store Brand - Store Brand,Vitamins,2,29.68,1.48,12.04,C00957,Dammam,E049,Mobile,Returned,0,28.2
ORD000115,2024-12-27 14:17:37,P0216,Aspirin 100mg Pack - Store Brand - Store Brand,Pain Relief,5,21.15,3.17,8.75,C00232,Riyadh,E051,Web,Completed,0,17.98
ORD000116,2025-06-28 17:04:19,P0305,Multivitamin Gummies Kids Bottle - Store Brand,Vitamins,1,44.68,2.23,16.67,C00744,Jeddah,E114,Web,Completed,0,42.45
ORD000117,2024-09-05 19:50:07,P0208,Voltaren Emulgel 50g Box - Store Brand,Pain Relief,4,132.28,0.0,55.24,C00118,Dammam,E099,Mobile,Completed,0,132.28
ORD000118,2025-05-27 00:16:38,P0198,Nivea Body Lotion 400ml Bottle - Store Brand,Personal Care,2,47.5,2.38,24.7,C00344,Mecca,E013,Web,Completed,0,45.12
ORD000119,2024-10-14 18:59:08,P0309,Panadol Extra Pack - Store Brand - Store Brand,Pain Relief,1,6.97,0.35,3.34,C01130,Jeddah,E030,Web,Completed,1,6.62
ORD000120,2025-06-07 23:23:14,P0343,Imodium 2mg Box - Store Brand - Store Brand - Store Brand - Store Brand,Gastrointestinal,4,29.96,0.0,17.44,C00279,Mecca,E093,Web,Completed,1,29.96
ORD000121,2025-09-09 14:13:56,P0061,Earol Ear Drops Pack,Ear Care,3,60.03,0.0,28.53,C00982,Mecca,E077,Mobile,Completed,1,60.03
ORD000122,2024-05-22 22:10:21,P0374,Johnson's Baby Oil 200ml Box - Store Brand - Store Brand,Baby Care,3,73.77,7.38,21.57,C00329,Mecca,E045,Retail,Completed,0,66.39
ORD000123,2024-09-15 01:34:18,P0028,Redoxon Vitamin C 1000mg Pack,Vitamins,3,90.57,0.0,41.46,C00937,Dammam,E082,Mobile,Completed,0,90.57
ORD000124,2025-05-04 06:27:44,P0064,Gaviscon 200ml Pack,Gastrointestinal,1,53.15,2.66,16.96,C01110,Mecca,E042,Mobile,Completed,0,50.49
ORD000125,2025-08-28 04:43:08,P0324,Aspirin 100mg Pack - Store Brand - Store Brand - Store Brand - Store Brand,Pain Relief,3,8.79,1.32,2.16,C00588,Jeddah,E058,Mobile,Completed,0,7.47
ORD000126,2024-09-11 11:13:27,P0273,Aspirin 100mg Bottle - Store Brand - Store Brand - Store Brand,Pain Relief,2,5.14,0.77,2.1,C00922,Dammam,E019,Web,Completed,0,4.37
ORD000127,2025-05-22 17:32:58,P0364,Duphaston 10mg Pack - Store Brand - Store Brand - Store Brand - Store Brand,Women's Health,1,16.72,0.0,8.55,C01109,Dammam,E052,Mobile,Completed,0,16.72
ORD000128,2024-07-05 17:25:16,P0204,Panadol Advance Bottle - Store Brand,Pain Relief,2,27.24,1.36,12.34,C00288,Dammam,E063,Web,Completed,0,25.88
ORD000129,2024-09-27 04:19:43,P0174,Duphaston 10mg Pack - Store Brand,Women's Health,1,53.05,7.96,19.67,C01072,Riyadh,E042,Mobile,Completed,0,45.09
ORD000130,2025-08-26 17:31:48,P0308,Omega-3 Fish Oil Pack - Store Brand - Store Brand - Store Brand,Vitamins,2,88.02,8.8,37.1,C00049,Riyadh,E045,Web,Completed,0,79.22
ORD000131,2024-11-14 17:28:59,P0297,Centrum Multivitamins Bottle - Store Brand - Store Brand - Store Brand,Vitamins,1,40.5,4.05,19.54,C00497,Dammam,E079,Mobile,Completed,0,36.45
ORD000132,2025-02-28 02:04:53,P0349,Redoxon Vitamin C 1000mg Bottle - Store Brand - Store Brand,Vitamins,1,13.39,0.67,7.36,C00233,Riyadh,E026,Mobile,Completed,0,12.72
ORD000133,2024-06-18 06:00:32,P0218,Femibion Prenatal Bottle - Store Brand - Store Brand,Vitamins,3,280.47,14.02,102.69,C00710,Khobar,E080,Retail,Completed,0,266.45
ORD000134,2024-04-02 15:15:18,P0327,Neutrogena Hydro Boost Box - Store Brand,Skincare,1,82.1,0.0,27.8,C00757,Khobar,E040,Web,Completed,0,82.1
ORD000135,2025-05-14 20:23:48,P0358,Pampers Baby Dry Pack - Store Brand - Store Brand - Store Brand,Baby Care,1,33.81,3.38,13.28,C00641,Mecca,E071,Web,Completed,0,30.43
ORD000136,2025-09-13 20:18:47,P0052,Clobetasol Cream 0.05% 30g Pack,Dermatology,3,312.0,0.0,114.27,C00366,Jeddah,E049,Mobile,Completed,0,312.0
ORD000137,2024-10-07 09:17:58,P0249,Duphaston 10mg Pack - Store Brand - Store Brand,Women's Health,1,39.95,4.0,13.72,C00878,Mecca,E026,Mobile,Completed,0,35.95
ORD000138,2025-03-19 02:44:45,P0322,Pampers Baby Dry Bottle - Store Brand - Store Brand,Baby Care,3,227.88,0.0,112.47,C00505,Jeddah,E009,Web,Completed,0,227.88
ORD000139,2024-06-14 18:29:24,P0103,Otrivin Nasal Spray Box - Store Brand,Cold & Flu,1,17.43,2.61,7.62,C00061,Mecca,E030,Retail,Completed,0,14.82
ORD000140,2024-11-22 23:46:24,P0190,Band-Aid Assorted Box - Store Brand - Store Brand - Store Brand,First Aid,2,10.68,0.0,4.74,C00137,Mecca,E024,Web,Returned,0,10.68
ORD000141,2024-04-22 20:17:11,P0198,Nivea Body Lotion 400ml Bottle - Store Brand,Personal Care,1,23.75,2.38,12.35,C01019,Medina,E043,Web,Completed,0,21.37
ORD000142,2024-12-17 07:41:38,P0187,Omega-3 Fish Oil Pack - Store Brand,Vitamins,3,203.01,20.3,103.56,C00105,Mecca,E081,Web,Cancelled,0,182.71
ORD000143,2024-05-10 03:11:33,P0171,Earol Ear Drops Bottle - Store Brand,Ear Care,2,42.7,6.4,16.78,C00968,Khobar,E114,Retail,Cancelled,0,36.3
ORD000144,2024-09-14 04:24:51,P0106,Symbicort Inhaler Bottle - Store Brand,Respiratory,1,284.2,42.63,134.64,C00412,Medina,E085,Web,Completed,0,241.57
ORD000145,2025-02-10 02:54:19,P0260,Duphaston 10mg Pack - Store Brand - Store Brand,Women's Health,1,38.71,1.94,15.19,C00095,Jeddah,E055,Retail,Completed,0,36.77
ORD000146,2025-03-06 20:22:06,P0267,Voltaren Emulgel 50g Bottle - Store Brand - Store Brand - Store Brand,Pain Relief,2,30.18,1.51,16.08,C00720,Dammam,E084,Web,Completed,0,28.67
ORD000147,2024-07-08 05:47:54,P0162,Johnson's Baby Oil 200ml Bottle - Store Brand,Baby Care,1,25.99,1.3,10.85,C00457,Mecca,E056,Retail,Returned,0,24.69
