campaignid,campaignname,channel,totalcost,impressions,clicks,conversions,startdate,enddate
CAMP0211,Summer Wellness 211,Meta,43637.67,72591,5581,265,2025-02-14,2025-03-03
CAMP0212,Winter Health 212,Google,25105.72,564068,44985,1723,2025-02-24,2025-06-24
CAMP0213,Back to School 213,TikTok,41961.2,582416,25171,372,2025-07-29,2025-10-02
CAMP0214,Skincare Promo 214,Snapchat,38866.23,782281,29181,1236,2024-12-31,2025-04-01
CAMP0215,Summer Wellness 215,Google,12465.14,740364,46644,2177,2025-02-27,2025-06-22
CAMP0216,Ramadan Sale 216,Meta,44411.71,693513,32762,598,2025-03-03,2025-05-11
CAMP0217,Summer Wellness 217,Google,24778.34,1184900,74825,2242,2025-08-16,2025-11-15
CAMP0218,Winter Health 218,Meta,33318.01,633975,42361,2028,2025-02-28,2025-04-10
CAMP0219,Back to School 219,Google,10803.87,804563,13011,462,2024-11-05,2025-02-09
CAMP0220,Winter Health 220,Meta,33500.52,1415467,106503,3506,2025-07-21,2025-11-03
CAMP0221,Skincare Promo 221,TikTok,18019.8,1473887,45495,2033,2025-05-22,2025-08-11
CAMP0222,Vitamins Push 222,Snapchat,5054.39,1279103,87719,4358,2025-02-24,2025-06-24
CAMP0223,Skincare Promo 223,Google,4959.89,835996,20113,945,2025-07-01,2025-10-07
CAMP0224,Vitamins Push 224,Snapchat,34583.49,825458,23218,661,2025-01-28,2025-04-10
CAMP0225,Summer Wellness 225,Google,43812.56,1770088,130393,2370,2025-07-20,2025-08-07
CAMP0226,Summer Wellness 226,Snapchat,38727.09,1880649,118032,3429,2024-09-26,2025-01-04
CAMP0227,Summer Wellness 227,Meta,31008.9,775230,58274,2649,2025-01-09,2025-04-06
CAMP0228,Winter Health 228,Snapchat,29875.76,1151113,43143,1634,2025-01-21,2025-03-29
CAMP0229,Ramadan Sale 229,Snapchat,16313.57,1253033,63821,865,2025-08-26,2025-11-01
CAMP0230,Skincare Promo 230,TikTok,31231.24,1271062,95496,3643,2025-03-31,2025-05-14
CAMP0231,Skincare Promo 231,TikTok,2454.35,1387530,26238,1076,2025-05-10,2025-06-13
CAMP0232,Vitamins Push 232,Meta,49069.25,830185,37899,1615,2025-06-06,2025-08-12
CAMP0233,Back to School 233,Google,9516.99,533687,21571,677,2024-12-08,2025-04-02
CAMP0234,Vitamins Push 234,Snapchat,25986.66,185305,10844,336,2024-11-06,2024-11-21
CAMP0235,Skincare Promo 235,Snapchat,5029.97,1248233,43343,580,2025-02-14,2025-05-28
CAMP0236,Back to School 236,Snapchat,18127.84,1268363,26579,657,2025-05-24,2025-08-27
CAMP0237,Skincare Promo 237,Snapchat,28705.86,1411276,16664,170,2025-02-02,2025-03-05
CAMP0238,Summer Wellness 238,Meta,38853.38,1157012,74601,2561,2024-09-13,2024-10-12
CAMP0239,Skincare Promo 239,Meta,19127.1,311401,14954,515,2025-02-01,2025-04-16
CAMP0240,Vitamins Push 240,Snapchat,36857.58,416609,14394,379,2024-11-11,2025-02-09
CAMP0241,Back to School 241,Meta,21705.85,1402904,44452,1177,2025-01-01,2025-02-11
CAMP0242,Summer Wellness 242,Snapchat,17406.02,963896,55820,787,2024-12-21,2025-01-28
CAMP0243,Vitamins Push 243,Google,49938.11,751181,45685,1455,2025-08-19,2025-11-01
CAMP0244,Winter Health 244,TikTok,17172.42,1561964,49568,546,2025-03-18,2025-06-29
CAMP0245,Summer Wellness 245,Snapchat,28060.96,1374218,14894,213,2024-12-16,2024-12-24
CAMP0246,Winter Health 246,TikTok,25351.13,1041426,69004,2068,2025-05-03,2025-06-11
CAMP0247,Vitamins Push 247,Meta,23433.76,1711459,109595,2748,2024-12-07,2025-02-06
CAMP0248,Back to School 248,Snapchat,20655.78,703096,18953,417,2025-05-24,2025-06-29
CAMP0249,Back to School 249,TikTok,15272.1,1213923,46844,2253,2025-05-19,2025-06-20
CAMP0250,Winter Health 250,Meta,9498.41,1824684,137207,4127,2025-02-05,2025-03-05
